Source,Target,Type,Id,Label,Weight,relationship,Color
Q18432631,Q106514601,Directed,137,,1,subclass_of,"#000000"
Q22908553,Q114880130,Directed,138,,1,subclass_of,"#000000"
Q25389262,Q12200830,Directed,139,,1,subclass_of,"#000000"
Q27345019,Q114880130,Directed,140,,1,subclass_of,"#000000"
Q28721502,Q1166726,Directed,141,,1,subclass_of,"#000000"
Q30895273,Q19938910,Directed,142,,1,subclass_of,"#000000"
Q31836693,Q114880130,Directed,143,,1,subclass_of,"#000000"
Q47781397,Q114880130,Directed,144,,1,subclass_of,"#000000"
Q56342573,Q1033912,Directed,145,,1,subclass_of,"#000000"
Q60973191,Q19938910,Directed,146,,1,subclass_of,"#000000"
Q96376113,Q110527222,Directed,147,,1,subclass_of,"#000000"
Q97178866,Q97278139,Directed,148,,1,subclass_of,"#000000"
Q105636937,Q110527222,Directed,149,,1,subclass_of,"#000000"
Q106388388,Q114880130,Directed,150,,1,subclass_of,"#000000"
Q106477753,Q114880130,Directed,151,,1,subclass_of,"#000000"
Q106576261,Q106576141,Directed,152,,1,subclass_of,"#000000"
Q106591506,Q114880130,Directed,153,,1,subclass_of,"#000000"
Q106594174,Q1033912,Directed,154,,1,subclass_of,"#000000"
Q106636289,Q11332204,Directed,155,,1,subclass_of,"#000000"
Q106654239,Q1166726,Directed,156,,1,subclass_of,"#000000"
Q107091813,Q106576141,Directed,157,,1,subclass_of,"#000000"
Q108297194,Q1191544,Directed,158,,1,subclass_of,"#000000"
Q108297232,Q4049849,Directed,159,,1,subclass_of,"#000000"
Q110127020,Q97278139,Directed,160,,1,subclass_of,"#000000"
Q110127031,Q97278139,Directed,161,,1,subclass_of,"#000000"
Q110226234,Q98528149,Directed,162,,1,subclass_of,"#000000"
Q110620412,Q19938910,Directed,163,,1,subclass_of,"#000000"
Q112663444,Q898709,Directed,164,,1,subclass_of,"#000000"
Q113600471,Q898709,Directed,165,,1,subclass_of,"#000000"
Q113600471,Q1033912,Directed,166,,1,subclass_of,"#000000"
Q114878571,Q1033912,Directed,167,,1,subclass_of,"#000000"
Q116952929,Q898709,Directed,168,,1,subclass_of,"#000000"
Q120715859,Q106514601,Directed,169,,1,subclass_of,"#000000"
Q121494463,Q79784514,Directed,170,,1,subclass_of,"#000000"
Q123009321,Q1166726,Directed,171,,1,subclass_of,"#000000"
Q123922710,Q1136045,Directed,172,,1,subclass_of,"#000000"
Q124333204,Q1166726,Directed,173,,1,subclass_of,"#000000"
Q133520038,Q848852,Directed,174,,1,subclass_of,"#000000"
Q135493744,Q114880130,Directed,175,,1,subclass_of,"#000000"
Q20502,Q851213,Directed,176,,1,subclass_of,"#000000"
Q21092,Q851213,Directed,177,,1,subclass_of,"#000000"
Q56580,Q388906,Directed,178,,1,subclass_of,"#000000"
Q170435,Q851213,Directed,179,,1,subclass_of,"#000000"
Q170611,Q851213,Directed,180,,1,subclass_of,"#000000"
Q188994,Q851213,Directed,181,,1,subclass_of,"#000000"
Q205560,Q251192,Directed,182,,1,subclass_of,"#000000"
Q216961,Q851213,Directed,183,,1,subclass_of,"#000000"
Q217597,Q851213,Directed,184,,1,subclass_of,"#000000"
Q251192,Q757143,Directed,185,,1,subclass_of,"#000000"
Q325397,Q817138,Directed,186,,1,subclass_of,"#000000"
Q339906,Q388906,Directed,187,,1,subclass_of,"#000000"
Q341396,Q388906,Directed,188,,1,subclass_of,"#000000"
Q362515,Q851213,Directed,189,,1,subclass_of,"#000000"
Q372103,Q851213,Directed,190,,1,subclass_of,"#000000"
Q382343,Q851213,Directed,191,,1,subclass_of,"#000000"
