"","Source","Target","Type","Relationship"
"502","Q930592","Q216961","Directed","subclass_of"
"503","Q967654","Q188994","Directed","subclass_of"
"504","Q1027999","Q170435","Directed","subclass_of"
"505","Q1102161","Q188994","Directed","subclass_of"
"506","Q1136765","Q170435","Directed","subclass_of"
"507","Q1166321","Q188994","Directed","subclass_of"
"508","Q1335569","Q188994","Directed","subclass_of"
"509","Q1339027","Q170435","Directed","subclass_of"
"510","Q1430587","Q170611","Directed","subclass_of"
"511","Q1738175","Q170611","Directed","subclass_of"
"512","Q2076779","Q216961","Directed","subclass_of"
"513","Q2082572","Q188994","Directed","subclass_of"
"514","Q2112253","Q170611","Directed","subclass_of"
"515","Q2121992","Q188994","Directed","subclass_of"
"516","Q2260696","Q170435","Directed","subclass_of"
"517","Q2302695","Q170435","Directed","subclass_of"
"518","Q2460288","Q170435","Directed","subclass_of"
"519","Q2615500","Q188994","Directed","subclass_of"
"520","Q2640307","Q188994","Directed","subclass_of"
"521","Q2693142","Q170611","Directed","subclass_of"
"522","Q3084222","Q170611","Directed","subclass_of"
"523","Q3179786","Q188994","Directed","subclass_of"
"524","Q4040357","Q188994","Directed","subclass_of"
"525","Q4181927","Q188994","Directed","subclass_of"
"526","Q5402470","Q170435","Directed","subclass_of"
"527","Q5801257","Q170435","Directed","subclass_of"
"528","Q7845403","Q170611","Directed","subclass_of"
"529","Q9356246","Q170611","Directed","subclass_of"
"530","Q9364029","Q170611","Directed","subclass_of"
"531","Q10268931","Q188994","Directed","subclass_of"
"532","Q10541010","Q170611","Directed","subclass_of"
"533","Q10856835","Q170611","Directed","subclass_of"
"534","Q11334714","Q170435","Directed","subclass_of"
"535","Q11877639","Q170435","Directed","subclass_of"
"536","Q16837290","Q170435","Directed","subclass_of"
"537","Q22909461","Q170611","Directed","subclass_of"
"538","Q24876318","Q188994","Directed","subclass_of"
"539","Q27961199","Q21092","Directed","subclass_of"
"540","Q29480448","Q170611","Directed","subclass_of"
"541","Q30765672","Q170611","Directed","subclass_of"
"542","Q30912999","Q170611","Directed","subclass_of"
"543","Q30917047","Q170435","Directed","subclass_of"
"544","Q85741139","Q20502","Directed","subclass_of"
"545","Q85748774","Q20502","Directed","subclass_of"
"546","Q86674318","Q170611","Directed","subclass_of"
"547","Q98088041","Q20502","Directed","subclass_of"
"548","Q105636937","Q170611","Directed","subclass_of"
"549","Q105636940","Q20502","Directed","subclass_of"
"550","Q105637110","Q20502","Directed","subclass_of"
"551","Q106404300","Q188994","Directed","subclass_of"
"552","Q106521662","Q170611","Directed","subclass_of"
"553","Q106522080","Q170611","Directed","subclass_of"
"554","Q106522098","Q20502","Directed","subclass_of"
